event_type	event_id	frozen_gene_symbol	previous_gene_id	gencode_gene_id	gencode_gene_name	chromosome	strand	event_start_0base	event_end_1base	match_method
ES	357583	ABCF3	ABCF3	ENSG00000161204.12	ABCF3	chr3	+	184186795	184187761	symbol_chromosome_strand_containment
A5SS	1883	UBE2J2	UBE2J2	ENSG00000160087.21	UBE2J2	chr1	-	1257207	1267992	symbol_chromosome_strand_containment
A5SS	36573	HERPUD1	HERPUD1	ENSG00000051108.15	HERPUD1	chr16	+	56935234	56936817	symbol_chromosome_strand_containment
A5SS	42069	AEBP1	AEBP1	ENSG00000106624.11	AEBP1	chr7	+	44107438	44108084	symbol_chromosome_strand_containment
A5SS	57395	EIF5	EIF5	ENSG00000100664.11	EIF5	chr14	+	103336676	103338472	symbol_chromosome_strand_containment
A5SS	71791	DNAJB1	DNAJB1	ENSG00000132002.10	DNAJB1	chr19	-	14516465	14517862	symbol_chromosome_strand_containment
A5SS	105403	POFUT2	POFUT2	ENSG00000186866.17	POFUT2	chr21	-	45283382	45284518	symbol_chromosome_strand_containment
A3SS	7659	WDR45	WDR45	ENSG00000196998.19	WDR45	chrX	-	49076644	49077584	symbol_chromosome_strand_containment
A3SS	56743	ARPC4-TTLL3	ARPC4-TTLL3	ENSG00000250151.9	ARPC4-TTLL3	chr3	+	9813247	9818920	symbol_chromosome_strand_containment
A3SS	126411	CEP131	CEP131	ENSG00000141577.14	CEP131	chr17	-	81192297	81194127	symbol_chromosome_strand_containment
A3SS	132631	TNPO2	TNPO2	ENSG00000105576.16	TNPO2	chr19	-	12705681	12706367	symbol_chromosome_strand_containment
A3SS	142090	DNMT3A	DNMT3A	ENSG00000119772.19	DNMT3A	chr2	-	25240639	25243982	symbol_chromosome_strand_containment
MXE	18721	SEPTIN11	SEPTIN11	ENSG00000138758.12	SEPTIN11	chr4	+	76949713	76996539	symbol_chromosome_strand_overlap
MXE	32242	ANAPC10	ANAPC10	ENSG00000164162.14	ANAPC10	chr4	-	145095984	145098219	symbol_chromosome_strand_containment
MXE	41557	DENND3	DENND3	ENSG00000105339.11	DENND3	chr8	+	141138021	141150953	symbol_chromosome_strand_containment
MXE	61537	CCDC60	CCDC60	ENSG00000183273.7	CCDC60	chr12	+	119471993	119500168	symbol_chromosome_strand_containment
MXE	93201	MGEA5	MGEA5	ENSG00000198408.14	OGA	chr10	-	101798841	101818465	chromosome_strand_containment_alias
MXE	111285	FAT3	FAT3	ENSG00000165323.16	FAT3	chr11	+	92524633	92697445	symbol_chromosome_strand_containment
MXE	112117	EIF4G3	EIF4G3	ENSG00000075151.24	EIF4G3	chr1	-	20981047	21050994	symbol_chromosome_strand_containment
MXE	123135	SEPTIN10	SEPTIN10	ENSG00000186522.15	SEPTIN10	chr2	-	109565762	109585321	symbol_chromosome_strand_containment
MXE	123146	SEPTIN10	SEPTIN10	ENSG00000186522.15	SEPTIN10	chr2	-	109565762	109585321	symbol_chromosome_strand_containment
MXE	126045	TAOK1	TAOK1	ENSG00000160551.12	TAOK1	chr17	+	29390924	29451680	symbol_chromosome_strand_containment
MXE	142204	SOBP	SOBP	ENSG00000112320.12	SOBP	chr6	+	107506241	107533610	symbol_chromosome_strand_containment
MXE	145318	CCBL2	CCBL2	ENSG00000137944.18	KYAT3	chr1	-	88962058	88964978	chromosome_strand_containment_alias
MXE	160599	MVD	MVD	ENSG00000167508.12	MVD	chr16	-	88657435	88663149	symbol_chromosome_strand_containment
MXE	170013	BZRAP1	BZRAP1	ENSG00000005379.17	TSPOAP1	chr17	-	58323467	58326790	chromosome_strand_containment_alias
MXE	194027	ALMS1	ALMS1	ENSG00000116127.20	ALMS1	chr2	+	73385757	73419318	symbol_chromosome_strand_containment
MXE	210383	POFUT2	POFUT2	ENSG00000186866.17	POFUT2	chr21	-	45283382	45285928	symbol_chromosome_strand_containment
MXE	210384	POFUT2	POFUT2	ENSG00000186866.17	POFUT2	chr21	-	45283382	45285928	symbol_chromosome_strand_containment
MXE	210390	POFUT2	POFUT2	ENSG00000186866.17	POFUT2	chr21	-	45283382	45285928	symbol_chromosome_strand_containment
MXE	210395	POFUT2	POFUT2	ENSG00000186866.17	POFUT2	chr21	-	45283382	45285928	symbol_chromosome_strand_containment
MXE	216995	WDR6	WDR6	ENSG00000178252.19	WDR6	chr3	+	49007203	49014116	symbol_chromosome_strand_containment
MXE	222514	TMEM175	TMEM175	ENSG00000127419.17	TMEM175	chr4	+	951206	953354	symbol_chromosome_strand_containment
MXE	226428	ANAPC10	ANAPC10	ENSG00000164162.14	ANAPC10	chr4	-	145095984	145098219	symbol_chromosome_strand_containment
RI	2374	ABCA1	ABCA1	ENSG00000165029.17	ABCA1	chr9	-	104799571	104799988	symbol_chromosome_strand_containment
RI	5458	ZC3H18	ZC3H18	ENSG00000158545.16	ZC3H18	chr16	+	88623218	88623587	symbol_chromosome_strand_containment
RI	5561	ANO8	ANO8	ENSG00000074855.11	ANO8	chr19	-	17327449	17327880	symbol_chromosome_strand_containment
RI	8550	COL5A2	COL5A2	ENSG00000204262.14	COL5A2	chr2	-	189100106	189100418	symbol_chromosome_strand_containment
RI	10372	ASAP1	ASAP1	ENSG00000153317.15	ASAP1	chr8	-	130115627	130116014	symbol_chromosome_strand_containment
RI	11155	NAV1	NAV1	ENSG00000134369.17	NAV1	chr1	+	201794171	201794577	symbol_chromosome_strand_containment
RI	12946	CCNT2	CCNT2	ENSG00000082258.13	CCNT2	chr2	+	134945786	134946146	symbol_chromosome_strand_containment
RI	19552	MTHFD1	MTHFD1	ENSG00000100714.18	MTHFD1	chr14	+	64427336	64427761	symbol_chromosome_strand_containment
RI	22333	CLCN6	CLCN6	ENSG00000011021.23	CLCN6	chr1	+	11833175	11833638	symbol_chromosome_strand_containment
RI	24053	ENTHD2	ENTHD2	ENSG00000167302.11	TEPSIN	chr17	-	81238635	81239091	chromosome_strand_containment_alias
RI	24328	MRFAP1	MRFAP1	ENSG00000179010.16	MRFAP1	chr4	+	6641231	6641610	symbol_chromosome_strand_containment
RI	27387	KIF3C	KIF3C	ENSG00000084731.15	KIF3C	chr2	-	25956066	25956444	symbol_chromosome_strand_containment
RI	27791	C5orf42	C5orf42	ENSG00000197603.16	CPLANE1	chr5	-	37121616	37122104	chromosome_strand_containment_alias
RI	29252	PYGB	PYGB	ENSG00000100994.12	PYGB	chr20	+	25288027	25288483	symbol_chromosome_strand_containment
RI	33444	LARP1	LARP1	ENSG00000155506.19	LARP1	chr5	+	154799590	154799928	symbol_chromosome_strand_containment
