event_type	event_key	gene_symbol	chromosome	strand	disease_event_id	disease_fdr	sma_mean_inclusion	control_mean_inclusion	disease_delta_sma_minus_control	treatment_event_id	treatment_fdr	scramble_mean_inclusion	r6_mean_inclusion	rmats_delta_scramble_minus_r6	treatment_delta_r6_minus_scramble	S2_scramble_mean	S2_r6_mean	S2_treatment_delta	S3_scramble_mean	S3_r6_mean	S3_treatment_delta	pooled_distance_improvement	S2_distance_improvement	S2_direction_reversal	S3_distance_improvement	S3_direction_reversal	biological_direction_reversal	corrected_rescue	strict_corrected_rescue
ES	ES|GOLGA4|chr3|+|37273535|37273601|37243190|37243622|37281957|37282272	GOLGA4	chr3	+	117077	0.00683073014240383	0.845333333333333	0.994555555555556	-0.149	117602	0.000127655214884079	0.85125	0.993875	-0.143	0.143	0.94675	1	0.05325	0.75575	0.98775	0.232	0.142625	0.0423611111111111	TRUE	0.232	TRUE	TRUE	TRUE	TRUE
ES	ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	KIZ	chr20	+	119569	6.94564861138343e-05	0.761833333333333	0.907444444444444	-0.146	120070	0.00109368251233877	0.8005	0.92975	-0.129	0.129	0.90125	0.908	0.00675000000000003	0.69975	0.9515	0.25175	0.084638888888889	0.00563888888888897	TRUE	0.163638888888889	TRUE	TRUE	TRUE	TRUE
ES	ES|UBQLN1|chr9|-|83678421|83678599|83677726|83677961|83707499|83708253	UBQLN1	chr9	-	137880	1.44139067896781e-05	0.682	0.984111111111111	-0.302	138893	0.000505750049030733	0.67275	0.82075	-0.148	0.148	0.79725	0.875	0.07775	0.54825	0.7665	0.21825	0.148	0.07775	TRUE	0.21825	TRUE	TRUE	TRUE	TRUE
ES	ES|DENND3|chr8|+|141150097|141150348|141144147|141144259|141150833|141150953	DENND3	chr8	+	140297	0.0433144902084394	0.822333333333333	0.525444444444444	0.297	141202	0.00041328005539524	0.9	0.679125	0.221	-0.221	0.8	0.39675	-0.40325	1	0.9615	-0.0385	0.220875	0.145861111111111	TRUE	0.0385	TRUE	TRUE	TRUE	TRUE
ES	ES|LOC155060|chr7|+|149293750|149293842|149293376|149293492|149294379|149294412	LOC155060	chr7	+	145452	1.78829078823424e-08	0.983166666666667	0.759444444444444	0.224	146257	0.0083480898850844	0.958625	0.837875	0.121	-0.121	0.98125	0.7675	-0.21375	0.936	0.90825	-0.0277499999999999	0.12075	0.21375	TRUE	0.0277499999999999	TRUE	TRUE	TRUE	TRUE
ES	ES|ORC3|chr6|+|87594526|87594613|87594352|87594407|87603383|87603528	ORC3	chr6	+	155252	0.0191552972681311	0.901666666666667	0.788444444444444	0.113	156767	0.00107207426719848	0.928875	0.773125	0.156	-0.156	0.951	0.7765	-0.1745	0.90675	0.76975	-0.137	0.125111111111111	0.150611111111111	TRUE	0.0996111111111111	TRUE	TRUE	TRUE	TRUE
ES	ES|ORC3|chr6|+|87594541|87594613|87594352|87594407|87603383|87603528	ORC3	chr6	+	155254	0.00763259520039361	0.877833333333333	0.657555555555556	0.22	156769	0.00718839868173562	0.892375	0.68525	0.207	-0.207	0.94275	0.69925	-0.2435	0.842	0.67125	-0.17075	0.207125	0.2435	TRUE	0.17075	TRUE	TRUE	TRUE	TRUE
ES	ES|CUL9|chr6|+|43206323|43206510|43206006|43206235|43213148|43213294	CUL9	chr6	+	157278	0.000145648777151627	0.929666666666667	0.788333333333333	0.141	158882	0.00978491326682352	0.933875	0.811375	0.122	-0.122	0.97025	0.87275	-0.0975	0.8975	0.75	-0.1475	0.1225	0.0975	TRUE	0.0708333333333333	TRUE	TRUE	TRUE	TRUE
ES	ES|CCT3|chr1|-|156335826|156335883|156333546|156333643|156338153|156338415	CCT3	chr1	-	163527	0.00200198915113039	0.820833333333333	1	-0.179	165376	0.00098708696486019	0.796	0.927	-0.131	0.131	0.74725	0.972	0.22475	0.84475	0.882	0.03725	0.131	0.22475	TRUE	0.03725	TRUE	TRUE	TRUE	TRUE
ES	ES|GAS8|chr16|+|90027635|90027722|90022599|90022724|90031189|90031484	GAS8	chr16	+	166580	5.05482599662212e-07	0.798666666666667	0.951666666666667	-0.153	168561	0.000654518848117336	0.857625	0.966875	-0.109	0.109	0.881	1	0.119	0.83425	0.93375	0.0995	0.0788333333333333	0.0223333333333333	TRUE	0.0995	TRUE	TRUE	TRUE	TRUE
ES	ES|ZCCHC12|chrX|+|118824338|118824386|118823823|118824005|118824588|118824713	ZCCHC12	chrX	+	174849	0.00424578675614779	0.7805	0.943222222222222	-0.163	177348	0.000110213966289961	0.82825	0.947875	-0.12	0.12	0.914	0.9645	0.0505	0.7425	0.93125	0.18875	0.110319444444444	0.00794444444444431	TRUE	0.18875	TRUE	TRUE	TRUE	TRUE
ES	ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	C14orf1	chr14	-	175766	7.37346350786423e-05	0.695666666666667	0.906666666666667	-0.211	178248	0.0309629245293763	0.68775	0.899125	-0.211	0.211	0.59425	0.88675	0.2925	0.78125	0.9115	0.13025	0.211375	0.2925	TRUE	0.120583333333333	TRUE	TRUE	TRUE	TRUE
ES	ES|ASUN|chr12|-|26934555|26934886|26928702|26928905|26936578|26936814	ASUN	chr12	-	195542	0.00222628909062346	0.8415	0.987333333333333	-0.146	199339	0.0360259826631933	0.811875	0.935625	-0.124	0.124	0.86925	0.9545	0.08525	0.7545	0.91675	0.16225	0.12375	0.08525	TRUE	0.16225	TRUE	TRUE	TRUE	TRUE
ES	ES|IQCD|chr12|-|113207437|113208259|113197540|113197612|113220996|113221094	IQCD	chr12	-	212223	3.40932368351607e-05	0.966666666666667	0.810222222222222	0.156	216292	0.0107679180493102	0.956375	0.789125	0.167	-0.167	0.9545	0.806	-0.1485	0.95825	0.77225	-0.186	0.125055555555556	0.140055555555556	TRUE	0.110055555555556	TRUE	TRUE	TRUE	TRUE
ES	ES|ECD|chr10|-|73163732|73163971|73160433|73160551|73167865|73168095	ECD	chr10	-	219697	0.0425802012811086	0.782666666666667	0.904222222222222	-0.122	224274	0.00284143588714332	0.79825	0.9115	-0.113	0.113	0.87525	0.92275	0.0475	0.72125	0.90025	0.179	0.0986944444444445	0.0104444444444446	TRUE	0.179	TRUE	TRUE	TRUE	TRUE
ES	ES|LINC00665|chr19|-|36316177|36316257|36315956|36316070|36321299|36321357	LINC00665	chr19	-	229850	0.0236355074858647	0.243833333333333	0.106333333333333	0.138	235074	0.00168978752070326	0.33425	0.12175	0.212	-0.212	0.266	0.10625	-0.15975	0.4025	0.13725	-0.26525	0.2125	0.159583333333333	TRUE	0.26525	TRUE	TRUE	TRUE	TRUE
ES	ES|SREK1IP1|chr5|-|64764974|64765121|64741056|64741200|64768504|64768669	SREK1IP1	chr5	-	274077	0.00466458213897667	0.165833333333333	0.321111111111111	-0.155	281975	0.00344312485804132	0.107125	0.242625	-0.135	0.135	0.1845	0.30425	0.11975	0.02975	0.181	0.15125	0.1355	0.11975	TRUE	0.15125	TRUE	TRUE	TRUE	TRUE
ES	ES|SREK1IP1|chr5|-|64765044|64765121|64741056|64741200|64768504|64768669	SREK1IP1	chr5	-	274080	0.0187495976939067	0.1735	0.289555555555556	-0.116	281979	0.00674366568408886	0.109375	0.247	-0.138	0.138	0.18775	0.30475	0.117	0.031	0.18925	0.15825	0.137625	0.0866111111111112	TRUE	0.15825	TRUE	TRUE	TRUE	TRUE
ES	ES|SAT2|chr17|-|7626761|7626793|7626237|7626614|7627142|7627226	SAT2	chr17	-	287415	0	0.498166666666667	1	-0.502	295753	0.0202303358226256	0.43375	0.75675	-0.323	0.323	0.5965	0.8585	0.262	0.271	0.655	0.384	0.323	0.262	TRUE	0.384	TRUE	TRUE	TRUE	TRUE
ES	ES|KCNAB3|chr17|-|7923455|7923631|7921858|7923179|7923710|7923831	KCNAB3	chr17	-	287575	2.44265145443466e-05	0.96	0.783444444444444	0.177	295926	0.00174792663393828	0.921	0.763125	0.158	-0.158	0.90475	0.889	-0.0157499999999999	0.93725	0.63725	-0.3	0.117236111111111	0.0157499999999999	TRUE	0.00761111111111124	TRUE	TRUE	TRUE	TRUE
ES	ES|ITGA2B|chr17|-|44378644|44378710|44378361|44378509|44379688|44379814	ITGA2B	chr17	-	294129	0.0398458943417869	0.78	0.499555555555556	0.28	302957	0.0266333871073873	0.8615	0.577	0.284	-0.284	0.829	0.7045	-0.1245	0.894	0.4495	-0.4445	0.2845	0.1245	TRUE	0.344388888888889	TRUE	TRUE	TRUE	TRUE
ES	ES|PDE9A|chr21|+|42698912|42699011|42653751|42653883|42733355|42733426	PDE9A	chr21	+	298490	9.9896095124246e-09	0.7535	1	-0.247	307418	0.000418812052514648	0.65425	0.931375	-0.277	0.277	0.81825	1	0.18175	0.49025	0.86275	0.3725	0.277125	0.18175	TRUE	0.3725	TRUE	TRUE	TRUE	TRUE
ES	ES|FAHD2A|chr2|+|95405552|95405803|95402699|95402992|95412433|95412504	FAHD2A	chr2	+	326985	0.0210782275672298	0.888666666666667	0.580444444444444	0.308	337566	0.0345813621766948	0.923625	0.81625	0.107	-0.107	0.88575	0.763	-0.12275	0.9615	0.8695	-0.0920000000000001	0.107375	0.12275	TRUE	0.0920000000000001	TRUE	TRUE	TRUE	TRUE
ES	ES|CHD6|chr20|-|41414845|41414981|41413323|41413515|41415185|41415638	CHD6	chr20	-	339313	0.000521943525322058	0.223	0.112777777777778	0.11	350460	0.0218116354474553	0.244875	0.143875	0.101	-0.101	0.1895	0.123	-0.0665	0.30025	0.16475	-0.1355	0.101	0.0665	TRUE	0.1355	TRUE	TRUE	TRUE	TRUE
ES	ES|ABCF3|chr3|+|184187396|184187571|184186795|184186875|184187663|184187761	ABCF3	chr3	+	357583	3.11866337341145e-08	0.840833333333333	0.972333333333333	-0.131	369664	0.00242962188966366	0.83	0.9355	-0.106	0.106	0.8645	0.9245	0.0599999999999999	0.7955	0.9465	0.151	0.1055	0.0599999999999999	TRUE	0.151	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|UBE2J2|chr1|-|1267732|1267992|1267861|1267992|1257207|1257310	UBE2J2	chr1	-	1883	0.00354939271354411	0.945833333333333	0.827666666666667	0.118	1872	0.000307675499435194	0.928	0.801875	0.126	-0.126	0.9235	0.79875	-0.12475	0.9325	0.805	-0.1275	0.0745416666666666	0.0669166666666667	TRUE	0.0821666666666666	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|HERPUD1|chr16|+|56935234|56935497|56935234|56935312|56936686|56936817	HERPUD1	chr16	+	36573	1.85488931906565e-10	0.952666666666667	0.503444444444444	0.449	37645	0.0376389433121824	0.918	0.74075	0.177	-0.177	0.89425	0.68975	-0.2045	0.94175	0.79175	-0.15	0.17725	0.2045	TRUE	0.15	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|AEBP1|chr7|+|44107438|44107839|44107438|44107510|44108006|44108084	AEBP1	chr7	+	42069	0.0250575361717324	0.868666666666667	0.713777777777778	0.155	43160	0.0422599096691815	0.91075	0.769875	0.141	-0.141	0.88275	0.70225	-0.1805	0.93875	0.8375	-0.10125	0.140875	0.157444444444444	TRUE	0.10125	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|EIF5|chr14|+|103336676|103337143|103336676|103336849|103338326|103338472	EIF5	chr14	+	57395	6.09315207111632e-05	0.849166666666667	0.963	-0.114	59137	5.38296551415517e-07	0.643125	0.943625	-0.3	0.3	0.71525	0.9375	0.22225	0.571	0.94975	0.37875	0.3005	0.22225	TRUE	0.37875	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|DNAJB1|chr19|-|14517478|14517862|14517590|14517862|14516465|14517046	DNAJB1	chr19	-	71791	1.36749223950705e-05	0.186	0.00744444444444444	0.179	74307	0.00529084325235281	0.2555	0.06025	0.195	-0.195	0.079	0	-0.079	0.432	0.1205	-0.3115	0.19525	0.0641111111111111	TRUE	0.3115	TRUE	TRUE	TRUE	TRUE
A5SS	A5SS|POFUT2|chr21|-|45284025|45284518|45284426|45284518|45283382|45283527	POFUT2	chr21	-	105403	1.70202760101605e-05	0.9655	0.735333333333333	0.23	108658	0.00586220740064771	0.89	0.6495	0.24	-0.24	0.78	0.73275	-0.04725	1	0.56625	-0.43375	0.0688333333333332	0.0420833333333333	TRUE	0.0955833333333332	TRUE	TRUE	TRUE	TRUE
A3SS	A3SS|WDR45|chrX|-|49076644|49076753|49076644|49076750|49077574|49077584	WDR45	chrX	-	7659	0.00826152406109792	0.745333333333333	1	-0.255	7802	0.0248668071813784	0.574	0.906625	-0.333	0.333	0.83225	1	0.16775	0.31575	0.81325	0.4975	0.332625	0.16775	TRUE	0.4975	TRUE	TRUE	TRUE	TRUE
A3SS	A3SS|ARPC4-TTLL3|chr3|+|9818580|9818920|9818821|9818920|9813247|9813345	ARPC4-TTLL3	chr3	+	56743	0.0153488946218787	0.870666666666667	1	-0.129	61808	6.28167546179658e-05	0.84125	0.95975	-0.118	0.118	0.93825	0.9565	0.01825	0.74425	0.963	0.21875	0.1185	0.01825	TRUE	0.21875	TRUE	TRUE	TRUE	TRUE
A3SS	A3SS|CEP131|chr17|-|81192297|81192589|81192297|81192392|81193925|81194127	CEP131	chr17	-	126411	5.79696586356897e-05	0.630333333333333	0.893888888888889	-0.264	138312	0.00528802073720883	0.759125	0.90975	-0.151	0.151	0.764	1	0.236	0.75425	0.8195	0.06525	0.118902777777778	0.0237777777777777	TRUE	0.06525	TRUE	TRUE	TRUE	TRUE
A3SS	A3SS|TNPO2|chr19|-|12705681|12706109|12705681|12705830|12706195|12706367	TNPO2	chr19	-	132631	2.46843973271733e-07	0.501833333333333	0.915888888888889	-0.414	145245	0.00299087704000065	0.615	0.895625	-0.281	0.281	0.74625	0.88225	0.136	0.48375	0.909	0.42525	0.280625	0.136	TRUE	0.42525	TRUE	TRUE	TRUE	TRUE
A3SS	A3SS|DNMT3A|chr2|-|25240639|25240761|25240639|25240730|25243897|25243982	DNMT3A	chr2	-	142090	0.0463571565561856	0.929	0.783555555555556	0.145	155535	0.00023818161698008	0.93775	0.82575	0.112	-0.112	0.958	0.88575	-0.0722499999999999	0.9175	0.76575	-0.15175	0.112	0.0722499999999999	TRUE	0.116138888888889	TRUE	TRUE	TRUE	TRUE
MXE	MXE|SEPTIN11|chr4|+|76987808|76987870|76995780|76995938|76949713|76949930|76996424|76996539	SEPTIN11	chr4	+	18721	1.13735272656273e-05	0.0825	0.445	-0.362	18527	0.00595649668070326	0.070125	0.270375	-0.2	0.2	0.09275	0.41125	0.3185	0.0475	0.1295	0.082	0.20025	0.3185	TRUE	0.082	TRUE	TRUE	TRUE	TRUE
MXE	MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145097760|145095984|145096111|145098119|145098219	ANAPC10	chr4	-	32242	0.049051418587668	0.664666666666667	0.364444444444444	0.3	31665	0.0328015257560306	0.84775	0.58	0.268	-0.268	0.6955	0.47225	-0.22325	1	0.68775	-0.31225	0.26775	0.22325	TRUE	0.31225	TRUE	TRUE	TRUE	TRUE
MXE	MXE|DENND3|chr8|+|141144147|141144259|141150097|141150348|141138021|141138137|141150833|141150953	DENND3	chr8	+	41557	0.00346857287486957	0.0905	0.378777777777778	-0.288	42001	0.000252392227702644	0.0985	0.27075	-0.172	0.172	0.197	0.51975	0.32275	0	0.02175	0.02175	0.17225	0.0408055555555555	TRUE	0.02175	TRUE	TRUE	TRUE	TRUE
MXE	MXE|CCDC60|chr12|+|119479093|119479201|119488758|119488962|119471993|119472164|119500077|119500168	CCDC60	chr12	+	61537	0.0055334042979154	0.860333333333333	0.972444444444444	-0.112	64102	4.14431883212474e-05	0.861875	0.991125	-0.129	0.129	0.8735	1	0.1265	0.85025	0.98225	0.132	0.0918888888888889	0.0713888888888889	TRUE	0.112388888888889	TRUE	TRUE	TRUE	TRUE
MXE	MXE|MGEA5|chr10|-|101803734|101804019|101807823|101807901|101798841|101799455|101817823|101818465	MGEA5	chr10	-	93201	1.14135339349993e-08	0.374	0.0128888888888889	0.361	98222	0.021089304823559	0.512375	0.199125	0.313	-0.313	0.329	0.22075	-0.10825	0.69575	0.1775	-0.51825	0.31325	0.10825	TRUE	0.51825	TRUE	TRUE	TRUE	TRUE
MXE	MXE|FAT3|chr11|+|92559409|92559705|92696745|92696783|92524633|92524948|92697383|92697445	FAT3	chr11	+	111285	0.00179107004586607	0.882666666666667	0.542	0.341	117318	3.63507882564176e-05	0.909	0.52475	0.384	-0.384	0.95375	0.50975	-0.444	0.86425	0.53975	-0.3245	0.34975	0.3795	TRUE	0.32	TRUE	TRUE	TRUE	TRUE
MXE	MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	EIF4G3	chr1	-	112117	0.0159278171630955	0.904833333333333	0.733	0.172	118475	0.00145577899592665	0.929125	0.821875	0.107	-0.107	0.925	0.83225	-0.0927500000000001	0.93325	0.8115	-0.12175	0.10725	0.0927500000000001	TRUE	0.12175	TRUE	TRUE	TRUE	TRUE
MXE	MXE|SEPTIN10|chr2|-|109567697|109567976|109574580|109574633|109565762|109565859|109585125|109585321	SEPTIN10	chr2	-	123135	3.2744494716779e-06	0.0785	0.353555555555556	-0.275	130715	0.0024340295499209	0.161125	0.400125	-0.239	0.239	0.124	0.32	0.196	0.19825	0.48025	0.282	0.145861111111111	0.196	TRUE	0.0286111111111111	TRUE	TRUE	TRUE	TRUE
MXE	MXE|SEPTIN10|chr2|-|109567832|109567976|109574580|109574633|109565762|109565859|109585125|109585321	SEPTIN10	chr2	-	123146	4.30905992919015e-06	0.0698333333333333	0.336444444444444	-0.267	130730	0.00422034640942026	0.159625	0.3745	-0.215	0.215	0.123	0.30275	0.17975	0.19625	0.44625	0.25	0.138763888888889	0.17975	TRUE	0.0303888888888889	TRUE	TRUE	TRUE	TRUE
MXE	MXE|TAOK1|chr17|+|29391918|29392033|29395852|29395991|29390924|29391024|29451454|29451680	TAOK1	chr17	+	126045	3.21692422587147e-07	0.980666666666667	0.705444444444444	0.275	134610	0.00416455375533111	0.938625	0.816875	0.122	-0.122	0.89075	0.82975	-0.0609999999999999	0.9865	0.804	-0.1825	0.12175	0.0609999999999999	TRUE	0.1825	TRUE	TRUE	TRUE	TRUE
MXE	MXE|SOBP|chr6|+|107529458|107529611|107530917|107531048|107506241|107506427|107533458|107533610	SOBP	chr6	+	142204	0.0179223405385666	0.945666666666667	0.813888888888889	0.132	152493	0.0193016662156459	0.951375	0.83725	0.114	-0.114	0.96325	0.76075	-0.2025	0.9395	0.91375	-0.0257499999999999	0.114125	0.0962222222222222	TRUE	0.0257499999999999	TRUE	TRUE	TRUE	TRUE
MXE	MXE|CCBL2|chr1|-|88962931|88963087|88964555|88964669|88962058|88962145|88964828|88964978	CCBL2	chr1	-	145318	5.50955056784541e-06	0.9545	0.666	0.288	155973	0.00708823291991027	0.955625	0.854875	0.101	-0.101	0.957	0.84975	-0.10725	0.95425	0.86	-0.0942500000000001	0.10075	0.10725	TRUE	0.0942500000000001	TRUE	TRUE	TRUE	TRUE
MXE	MXE|MVD|chr16|-|88657734|88658029|88660519|88660838|88657435|88657582|88663010|88663149	MVD	chr16	-	160599	0.000957076400690159	0.832333333333333	0.958666666666667	-0.126	172045	0.00320263480591262	0.8	0.935125	-0.135	0.135	0.91975	0.949	0.0292499999999999	0.68025	0.92125	0.241	0.135125	0.0292499999999999	TRUE	0.241	TRUE	TRUE	TRUE	TRUE
MXE	MXE|BZRAP1|chr17|-|58324788|58325002|58326292|58326419|58323467|58323545|58326682|58326790	BZRAP1	chr17	-	170013	0.00523438226775352	0.0255	0.126444444444444	-0.101	182686	0.0371070918420357	0	0.14375	-0.144	0.144	0	0.05325	0.05325	0	0.23425	0.23425	0.109138888888889	0.05325	TRUE	0.0186388888888889	TRUE	TRUE	TRUE	TRUE
MXE	MXE|ALMS1|chr2|+|73399257|73399343|73408621|73408747|73385757|73386192|73419122|73419318	ALMS1	chr2	+	194027	4.02893785973227e-05	0.0376666666666667	0.228777777777778	-0.191	208532	0.0492566983582346	0.065625	0.196625	-0.131	0.131	0.07975	0.22725	0.1475	0.0515	0.166	0.1145	0.131	0.1475	TRUE	0.1145	TRUE	TRUE	TRUE	TRUE
MXE	MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285328|45283382|45283527|45285677|45285928	POFUT2	chr21	-	210383	0.0164076783546608	0.127333333333333	0.363888888888889	-0.237	228757	0.0245365690470388	0.1465	0.339625	-0.193	0.193	0.2735	0.439	0.1655	0.0195	0.24025	0.22075	0.193125	0.0152777777777777	TRUE	0.22075	TRUE	TRUE	TRUE	TRUE
MXE	MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285372|45283382|45283527|45285677|45285928	POFUT2	chr21	-	210384	0.0151762734049668	0.0841666666666667	0.374111111111111	-0.29	228758	0.00270854509727639	0.14025	0.45225	-0.312	0.312	0.21625	0.4535	0.23725	0.06425	0.451	0.38675	0.155722222222222	0.0784722222222222	TRUE	0.232972222222222	TRUE	TRUE	TRUE	TRUE
MXE	MXE|POFUT2|chr21|-|45284025|45284230|45285268|45285372|45283382|45283527|45285677|45285928	POFUT2	chr21	-	210390	0.0187318858047542	0.0781666666666667	0.349777777777778	-0.272	228770	0.00157391210665497	0.11875	0.420125	-0.301	0.301	0.18425	0.40475	0.2205	0.05325	0.4355	0.38225	0.160680555555556	0.110555555555556	TRUE	0.210805555555556	TRUE	TRUE	TRUE	TRUE
MXE	MXE|POFUT2|chr21|-|45284025|45284518|45285268|45285372|45283382|45283527|45285677|45285928	POFUT2	chr21	-	210395	0.0289086989538056	0.085	0.364777777777778	-0.28	228775	0.00149254101027075	0.118	0.4505	-0.332	0.332	0.178	0.44625	0.26825	0.058	0.45475	0.39675	0.161055555555556	0.105305555555556	TRUE	0.216805555555556	TRUE	TRUE	TRUE	TRUE
MXE	MXE|WDR6|chr3|+|49008908|49009024|49011420|49011459|49007203|49007531|49011634|49014116	WDR6	chr3	+	216995	0.040912536683827	0.110333333333333	0.273666666666667	-0.163	235761	9.79860597746622e-06	0.034875	0.237625	-0.203	0.203	0.031	0.19775	0.16675	0.03875	0.2775	0.23875	0.20275	0.16675	TRUE	0.231083333333333	TRUE	TRUE	TRUE	TRUE
MXE	MXE|TMEM175|chr4|+|951645|951717|952366|952539|951206|951258|953189|953354	TMEM175	chr4	+	222514	0.00208878203518142	0.938833333333333	0.836444444444444	0.102	242547	0.00643629265758038	0.944625	0.836625	0.108	-0.108	0.92825	0.814	-0.11425	0.961	0.85925	-0.10175	0.108	0.0693611111111112	TRUE	0.10175	TRUE	TRUE	TRUE	TRUE
MXE	MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145098015|145095984|145096111|145098119|145098219	ANAPC10	chr4	-	226428	0.0397082169435945	0.701	0.397222222222222	0.304	246246	0.0291452445173535	0.797875	0.62075	0.177	-0.177	0.59575	0.56975	-0.026	1	0.67175	-0.32825	0.177125	0.026	TRUE	0.32825	TRUE	TRUE	TRUE	TRUE
RI	RI|ABCA1|chr9|-|104799571|104799988|104799571|104799733|104799818|104799988	ABCA1	chr9	-	2374	2.06693300046761e-05	0.501833333333333	0.877111111111111	-0.375	2385	0.00026183959298312	0.552125	0.861625	-0.309	0.309	0.65525	0.9295	0.27425	0.449	0.79375	0.34475	0.3095	0.169472222222222	TRUE	0.34475	TRUE	TRUE	TRUE	TRUE
