event_key	event_type	gene_symbol	chromosome	strand	disease_exact_matches	treatment_exact_matches	disease_same_gene_class_candidates	treatment_same_gene_class_candidates	disease_same_locus_candidates	treatment_same_locus_candidates	disease_best_coordinate_matches	treatment_best_coordinate_matches	disease_coordinate_fields	treatment_coordinate_fields	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	disease_raw_event_id	treatment_raw_event_id	disease_raw_delta	treatment_raw_delta	disease_p_value	disease_rmats_fdr_target_locus_discovery	treatment_p_value	treatment_rmats_fdr_target_locus_discovery	raw_control_mean_psi	raw_sma_mean_psi	raw_scramble_mean_psi	raw_r6_mean_psi	S2_raw_disease_psi	S3_raw_disease_psi	S2_raw_scramble_psi	S3_raw_scramble_psi	S2_raw_r6_psi	S3_raw_r6_psi	S2_raw_treatment_delta	S3_raw_treatment_delta	S2_raw_distance_improvement	S3_raw_distance_improvement	sma_median_informative_jc	control_median_informative_jc	r6_median_informative_jc	scramble_median_informative_jc	minimum_group_median_informative_jc	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	S2_corrected	S3_corrected	both_lines_corrected	strong_raw_confirmation	structural_recovery_reason	raw_confirmation_limiting_reason	disease_within83_q	treatment_within83_q	processed_disease_delta	processed_treatment_delta	processed_disease_fdr	processed_treatment_fdr
ES|GOLGA4|chr3|+|37273535|37273601|37243190|37243622|37281957|37282272	ES	GOLGA4	chr3	+	0	0	22	13	22	13	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=37251394,frozen=37243190;upstreamEE:raw=37251484,frozen=37243622	upstreamES:raw=37251394,frozen=37243190;upstreamEE:raw=37251484,frozen=37243622																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.149	0.143	0.00683073014240383	0.000127655214884079
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	chr20	+	1	1	12	12	12	12	6	6	6	6	exact_match	exact_match			14371	14361	-0.37	0.141	7.52832968742e-07	5.39767102263384e-05	0.323344801728	1	0.888333333333333	0.5185	0.738	0.879	0.57	0.467	0.67	0.806	0.758	1	0.088	0.194	0.088	-0.0293333333333334	24.5	45	11.5	20	11.5	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	recovered	correction_not_reproduced_in_both_lines	5.269830781194e-06	0.841285710995333	-0.146	0.129	6.94564861138343e-05	0.00109368251233877
ES|UBQLN1|chr9|-|83678421|83678599|83677726|83677961|83707499|83708253	ES	UBQLN1	chr9	-	0	0	28	11	28	11	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=83678440,frozen=83678421;downstreamEE:raw=83707601,frozen=83708253	exonStart_0base:raw=83678440,frozen=83678421;downstreamEE:raw=83707601,frozen=83708253																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.302	0.148	1.44139067896781e-05	0.000505750049030733
ES|DENND3|chr8|+|141150097|141150348|141144147|141144259|141150833|141150953	ES	DENND3	chr8	+	0	0	9	10	9	10	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonEnd:raw=141150285,frozen=141150348	exonEnd:raw=141150285,frozen=141150348																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.297	-0.221	0.0433144902084394	0.00041328005539524
ES|LOC155060|chr7|+|149293750|149293842|149293376|149293492|149294379|149294412	ES	LOC155060	chr7	+	0	0	0	0	0	0	0	0	6	6	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			0.224	-0.121	1.78829078823424e-08	0.0083480898850844
ES|ORC3|chr6|+|87594526|87594613|87594352|87594407|87603383|87603528	ES	ORC3	chr6	+	0	1	5	7	5	7	4	6	6	6	event_coordinate_mismatch	exact_match	downstreamES:raw=87601783,frozen=87603383;downstreamEE:raw=87601881,frozen=87603528																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match			0.113	-0.156	0.0191552972681311	0.00107207426719848
ES|ORC3|chr6|+|87594541|87594613|87594352|87594407|87603383|87603528	ES	ORC3	chr6	+	0	1	5	7	5	7	4	6	6	6	event_coordinate_mismatch	exact_match	exonStart_0base:raw=87601783,frozen=87594541;exonEnd:raw=87601881,frozen=87594613																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match			0.22	-0.207	0.00763259520039361	0.00718839868173562
ES|CUL9|chr6|+|43206323|43206510|43206006|43206235|43213148|43213294	ES	CUL9	chr6	+	0	0	1	4	1	4	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=43206320,frozen=43206323	exonStart_0base:raw=43206320,frozen=43206323																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.141	-0.122	0.000145648777151627	0.00978491326682352
ES|CCT3|chr1|-|156335826|156335883|156333546|156333643|156338153|156338415	ES	CCT3	chr1	-	0	0	15	14	15	14	2	2	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=156334712,frozen=156335826;exonEnd:raw=156334775,frozen=156335883;downstreamES:raw=156334867,frozen=156338153;downstreamEE:raw=156334918,frozen=156338415	exonStart_0base:raw=156334712,frozen=156335826;exonEnd:raw=156334775,frozen=156335883;downstreamES:raw=156334867,frozen=156338153;downstreamEE:raw=156334918,frozen=156338415																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.179	0.131	0.00200198915113039	0.00098708696486019
ES|GAS8|chr16|+|90027635|90027722|90022599|90022724|90031189|90031484	ES	GAS8	chr16	+	0	0	8	8	8	8	5	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	downstreamEE:raw=90031406,frozen=90031484	downstreamES:raw=90031175,frozen=90031189;downstreamEE:raw=90031189,frozen=90031484																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.153	0.109	5.05482599662212e-07	0.000654518848117336
ES|ZCCHC12|chrX|+|118824338|118824386|118823823|118824005|118824588|118824713	ES	ZCCHC12	chrX	+	0	1	4	2	4	2	5	6	6	6	event_coordinate_mismatch	exact_match	exonEnd:raw=118824390,frozen=118824386																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match			-0.163	0.12	0.00424578675614779	0.000110213966289961
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	chr14	-	1	1	8	5	8	5	6	6	6	6	exact_match	exact_match			98885	98825	-0.467	0.3	1	1	1	1	0.5	0.0335	0.7	1	0.067	0	0.4	1	1		0.6		-0.4		9	1	2	5	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	exact_structure_without_finite_psi	exact_structure_without_finite_psi	1	1	-0.211	0.211	7.37346350786423e-05	0.0309629245293763
ES|ASUN|chr12|-|26934555|26934886|26928702|26928905|26936578|26936814	ES	ASUN	chr12	-	0	0	2	2	2	2	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonEnd:raw=26934630,frozen=26934886	exonEnd:raw=26934630,frozen=26934886																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.146	0.124	0.00222628909062346	0.0360259826631933
ES|IQCD|chr12|-|113207437|113208259|113197540|113197612|113220996|113221094	ES	IQCD	chr12	-	0	0	11	8	11	8	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=113195440,frozen=113197540;upstreamEE:raw=113195889,frozen=113197612	upstreamES:raw=113195440,frozen=113197540;upstreamEE:raw=113195889,frozen=113197612																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.156	-0.167	3.40932368351607e-05	0.0107679180493102
ES|ECD|chr10|-|73163732|73163971|73160433|73160551|73167865|73168095	ES	ECD	chr10	-	0	0	1	2	1	2	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonEnd:raw=73163950,frozen=73163971;downstreamEE:raw=73168008,frozen=73168095	exonEnd:raw=73163950,frozen=73163971;downstreamEE:raw=73168008,frozen=73168095																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.122	0.113	0.0425802012811086	0.00284143588714332
ES|LINC00665|chr19|-|36316177|36316257|36315956|36316070|36321299|36321357	ES	LINC00665	chr19	-	0	0	9	8	9	8	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=36316038,frozen=36315956	upstreamES:raw=36316038,frozen=36315956																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.138	-0.212	0.0236355074858647	0.00168978752070326
ES|SREK1IP1|chr5|-|64764974|64765121|64741056|64741200|64768504|64768669	ES	SREK1IP1	chr5	-	0	0	11	9	11	9	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=64741135,frozen=64741056;downstreamEE:raw=64768627,frozen=64768669	exonStart_0base:raw=64765044,frozen=64764974;downstreamEE:raw=64768627,frozen=64768669																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.155	0.135	0.00466458213897667	0.00344312485804132
ES|SREK1IP1|chr5|-|64765044|64765121|64741056|64741200|64768504|64768669	ES	SREK1IP1	chr5	-	0	0	11	9	11	9	3	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=64754314,frozen=64765044;exonEnd:raw=64754362,frozen=64765121;downstreamEE:raw=64768619,frozen=64768669	downstreamEE:raw=64768627,frozen=64768669																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.116	0.138	0.0187495976939067	0.00674366568408886
ES|SAT2|chr17|-|7626761|7626793|7626237|7626614|7627142|7627226	ES	SAT2	chr17	-	0	0	19	11	19	11	2	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=7626942,frozen=7626761;exonEnd:raw=7627044,frozen=7626793;upstreamES:raw=7626706,frozen=7626237;upstreamEE:raw=7626793,frozen=7626614	upstreamES:raw=7626533,frozen=7626237																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.502	0.323	0	0.0202303358226256
ES|KCNAB3|chr17|-|7923455|7923631|7921858|7923179|7923710|7923831	ES	KCNAB3	chr17	-	0	0	0	1	0	1	0	5	6	6	no_same_gene_event_class_candidate	event_coordinate_mismatch		exonEnd:raw=7923544,frozen=7923631																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			0.177	-0.158	2.44265145443466e-05	0.00174792663393828
ES|ITGA2B|chr17|-|44378644|44378710|44378361|44378509|44379688|44379814	ES	ITGA2B	chr17	-	0	0	1	2	1	2	5	0	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=44378642,frozen=44378644	exonStart_0base:raw=44376307,frozen=44378644;exonEnd:raw=44376388,frozen=44378710;upstreamES:raw=44376084,frozen=44378361;upstreamEE:raw=44376184,frozen=44378509;downstreamES:raw=44377008,frozen=44379688;downstreamEE:raw=44377088,frozen=44379814																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.28	-0.284	0.0398458943417869	0.0266333871073873
ES|PDE9A|chr21|+|42698912|42699011|42653751|42653883|42733355|42733426	ES	PDE9A	chr21	+	0	0	29	18	29	18	4	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42653778,frozen=42653751	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42687916,frozen=42653751;upstreamEE:raw=42687994,frozen=42653883																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.247	0.277	9.9896095124246e-09	0.000418812052514648
ES|FAHD2A|chr2|+|95405552|95405803|95402699|95402992|95412433|95412504	ES	FAHD2A	chr2	+	0	0	12	20	12	20	3	3	6	6	event_coordinate_mismatch	event_coordinate_mismatch	upstreamES:raw=95402707,frozen=95402699;upstreamEE:raw=95402872,frozen=95402992;downstreamEE:raw=95412542,frozen=95412504	upstreamES:raw=95402707,frozen=95402699;upstreamEE:raw=95402872,frozen=95402992;downstreamEE:raw=95412542,frozen=95412504																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.308	-0.107	0.0210782275672298	0.0345813621766948
ES|CHD6|chr20|-|41414845|41414981|41413323|41413515|41415185|41415638	ES	CHD6	chr20	-	1	0	4	3	4	3	6	5	6	6	exact_match	event_coordinate_mismatch		exonStart_0base:raw=41414606,frozen=41414845																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch			0.11	-0.101	0.000521943525322058	0.0218116354474553
ES|ABCF3|chr3|+|184187396|184187571|184186795|184186875|184187663|184187761	ES	ABCF3	chr3	+	0	0	16	9	16	9	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	exonEnd:raw=184187443,frozen=184187571	exonEnd:raw=184187443,frozen=184187571																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.131	0.106	3.11866337341145e-08	0.00242962188966366
A5SS|UBE2J2|chr1|-|1267732|1267992|1267861|1267992|1257207|1257310	A5SS	UBE2J2	chr1	-	0	0	4	5	4	5	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	flankingES:raw=1263345,frozen=1257207;flankingEE:raw=1263386,frozen=1257310	flankingES:raw=1263345,frozen=1257207;flankingEE:raw=1263386,frozen=1257310																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.118	-0.126	0.00354939271354411	0.000307675499435194
A5SS|HERPUD1|chr16|+|56935234|56935497|56935234|56935312|56936686|56936817	A5SS	HERPUD1	chr16	+	0	0	0	3	0	3	0	3	6	6	no_same_gene_event_class_candidate	event_coordinate_mismatch		longExonEnd:raw=56935587,frozen=56935497;shortEE:raw=56935497,frozen=56935312;flankingEE:raw=56937413,frozen=56936817																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			0.449	-0.177	1.85488931906565e-10	0.0376389433121824
A5SS|AEBP1|chr7|+|44107438|44107839|44107438|44107510|44108006|44108084	A5SS	AEBP1	chr7	+	0	0	2	0	2	0	2	0	6	6	event_coordinate_mismatch	no_same_gene_event_class_candidate	longExonStart_0base:raw=44107614,frozen=44107438;longExonEnd:raw=44107931,frozen=44107839;shortES:raw=44107614,frozen=44107438;shortEE:raw=44107700,frozen=44107510																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			0.155	-0.141	0.0250575361717324	0.0422599096691815
A5SS|EIF5|chr14|+|103336676|103337143|103336676|103336849|103338326|103338472	A5SS	EIF5	chr14	+	0	0	5	0	5	0	0	0	6	6	event_coordinate_mismatch	no_same_gene_event_class_candidate	longExonStart_0base:raw=103339171,frozen=103336676;longExonEnd:raw=103339803,frozen=103337143;shortES:raw=103339171,frozen=103336676;shortEE:raw=103339333,frozen=103336849;flankingES:raw=103340426,frozen=103338326;flankingEE:raw=103340561,frozen=103338472																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.114	0.3	6.09315207111632e-05	5.38296551415517e-07
A5SS|DNAJB1|chr19|-|14517478|14517862|14517590|14517862|14516465|14517046	A5SS	DNAJB1	chr19	-	0	0	1	1	1	1	2	2	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonStart_0base:raw=14527686,frozen=14517478;longExonEnd:raw=14527810,frozen=14517862;shortES:raw=14527725,frozen=14517590;shortEE:raw=14527810,frozen=14517862	longExonStart_0base:raw=14527686,frozen=14517478;longExonEnd:raw=14527810,frozen=14517862;shortES:raw=14527725,frozen=14517590;shortEE:raw=14527810,frozen=14517862																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.179	-0.195	1.36749223950705e-05	0.00529084325235281
A5SS|POFUT2|chr21|-|45284025|45284518|45284426|45284518|45283382|45283527	A5SS	POFUT2	chr21	-	1	0	3	2	3	2	6	0	6	6	exact_match	event_coordinate_mismatch		longExonStart_0base:raw=45283351,frozen=45284025;longExonEnd:raw=45283527,frozen=45284518;shortES:raw=45283382,frozen=45284426;shortEE:raw=45283527,frozen=45284518;flankingES:raw=45282348,frozen=45283382;flankingEE:raw=45282459,frozen=45283527																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch			0.23	-0.24	1.70202760101605e-05	0.00586220740064771
