event_key	event_type	gene_symbol	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	both_lines_corrected	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_matches	disease_coordinate_fields	treatment_best_coordinate_matches	treatment_coordinate_fields	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	structural_recovery_reason	raw_confirmation_limiting_reason
ES|GOLGA4|chr3|+|37273535|37273601|37243190|37243622|37281957|37282272	ES	GOLGA4	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	upstreamES:raw=37251394,frozen=37243190;upstreamEE:raw=37251484,frozen=37243622	upstreamES:raw=37251394,frozen=37243190;upstreamEE:raw=37251484,frozen=37243622	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|KIZ|chr20|+|21145564|21145654|21125982|21126204|21161870|21162507	ES	KIZ	TRUE	TRUE	TRUE	TRUE	FALSE	exact_match	exact_match	6	6	6	6			recovered	correction_not_reproduced_in_both_lines
ES|UBQLN1|chr9|-|83678421|83678599|83677726|83677961|83707499|83708253	ES	UBQLN1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	exonStart_0base:raw=83678440,frozen=83678421;downstreamEE:raw=83707601,frozen=83708253	exonStart_0base:raw=83678440,frozen=83678421;downstreamEE:raw=83707601,frozen=83708253	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|DENND3|chr8|+|141150097|141150348|141144147|141144259|141150833|141150953	ES	DENND3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	exonEnd:raw=141150285,frozen=141150348	exonEnd:raw=141150285,frozen=141150348	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|LOC155060|chr7|+|149293750|149293842|149293376|149293492|149294379|149294412	ES	LOC155060	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	6	0	6			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
ES|ORC3|chr6|+|87594526|87594613|87594352|87594407|87603383|87603528	ES	ORC3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	exact_match	4	6	6	6	downstreamES:raw=87601783,frozen=87603383;downstreamEE:raw=87601881,frozen=87603528		disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match
ES|ORC3|chr6|+|87594541|87594613|87594352|87594407|87603383|87603528	ES	ORC3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	exact_match	4	6	6	6	exonStart_0base:raw=87601783,frozen=87594541;exonEnd:raw=87601881,frozen=87594613		disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match
ES|CUL9|chr6|+|43206323|43206510|43206006|43206235|43213148|43213294	ES	CUL9	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	exonStart_0base:raw=43206320,frozen=43206323	exonStart_0base:raw=43206320,frozen=43206323	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|CCT3|chr1|-|156335826|156335883|156333546|156333643|156338153|156338415	ES	CCT3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	6	2	6	exonStart_0base:raw=156334712,frozen=156335826;exonEnd:raw=156334775,frozen=156335883;downstreamES:raw=156334867,frozen=156338153;downstreamEE:raw=156334918,frozen=156338415	exonStart_0base:raw=156334712,frozen=156335826;exonEnd:raw=156334775,frozen=156335883;downstreamES:raw=156334867,frozen=156338153;downstreamEE:raw=156334918,frozen=156338415	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|GAS8|chr16|+|90027635|90027722|90022599|90022724|90031189|90031484	ES	GAS8	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	4	6	downstreamEE:raw=90031406,frozen=90031484	downstreamES:raw=90031175,frozen=90031189;downstreamEE:raw=90031189,frozen=90031484	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|ZCCHC12|chrX|+|118824338|118824386|118823823|118824005|118824588|118824713	ES	ZCCHC12	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	exact_match	5	6	6	6	exonEnd:raw=118824390,frozen=118824386		disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match
ES|C14orf1|chr14|-|75654881|75655130|75651770|75651889|75657369|75657533	ES	C14orf1	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	exact_match	6	6	6	6			exact_structure_without_finite_psi	exact_structure_without_finite_psi
ES|ASUN|chr12|-|26934555|26934886|26928702|26928905|26936578|26936814	ES	ASUN	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	exonEnd:raw=26934630,frozen=26934886	exonEnd:raw=26934630,frozen=26934886	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|IQCD|chr12|-|113207437|113208259|113197540|113197612|113220996|113221094	ES	IQCD	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	upstreamES:raw=113195440,frozen=113197540;upstreamEE:raw=113195889,frozen=113197612	upstreamES:raw=113195440,frozen=113197540;upstreamEE:raw=113195889,frozen=113197612	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|ECD|chr10|-|73163732|73163971|73160433|73160551|73167865|73168095	ES	ECD	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	exonEnd:raw=73163950,frozen=73163971;downstreamEE:raw=73168008,frozen=73168095	exonEnd:raw=73163950,frozen=73163971;downstreamEE:raw=73168008,frozen=73168095	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|LINC00665|chr19|-|36316177|36316257|36315956|36316070|36321299|36321357	ES	LINC00665	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	upstreamES:raw=36316038,frozen=36315956	upstreamES:raw=36316038,frozen=36315956	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|SREK1IP1|chr5|-|64764974|64765121|64741056|64741200|64768504|64768669	ES	SREK1IP1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	upstreamES:raw=64741135,frozen=64741056;downstreamEE:raw=64768627,frozen=64768669	exonStart_0base:raw=64765044,frozen=64764974;downstreamEE:raw=64768627,frozen=64768669	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|SREK1IP1|chr5|-|64765044|64765121|64741056|64741200|64768504|64768669	ES	SREK1IP1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	3	6	5	6	exonStart_0base:raw=64754314,frozen=64765044;exonEnd:raw=64754362,frozen=64765121;downstreamEE:raw=64768619,frozen=64768669	downstreamEE:raw=64768627,frozen=64768669	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|SAT2|chr17|-|7626761|7626793|7626237|7626614|7627142|7627226	ES	SAT2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	6	5	6	exonStart_0base:raw=7626942,frozen=7626761;exonEnd:raw=7627044,frozen=7626793;upstreamES:raw=7626706,frozen=7626237;upstreamEE:raw=7626793,frozen=7626614	upstreamES:raw=7626533,frozen=7626237	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|KCNAB3|chr17|-|7923455|7923631|7921858|7923179|7923710|7923831	ES	KCNAB3	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	event_coordinate_mismatch	0	6	5	6		exonEnd:raw=7923544,frozen=7923631	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch
ES|ITGA2B|chr17|-|44378644|44378710|44378361|44378509|44379688|44379814	ES	ITGA2B	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	0	6	exonStart_0base:raw=44378642,frozen=44378644	exonStart_0base:raw=44376307,frozen=44378644;exonEnd:raw=44376388,frozen=44378710;upstreamES:raw=44376084,frozen=44378361;upstreamEE:raw=44376184,frozen=44378509;downstreamES:raw=44377008,frozen=44379688;downstreamEE:raw=44377088,frozen=44379814	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|PDE9A|chr21|+|42698912|42699011|42653751|42653883|42733355|42733426	ES	PDE9A	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	3	6	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42653778,frozen=42653751	exonStart_0base:raw=42698967,frozen=42698912;upstreamES:raw=42687916,frozen=42653751;upstreamEE:raw=42687994,frozen=42653883	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|FAHD2A|chr2|+|95405552|95405803|95402699|95402992|95412433|95412504	ES	FAHD2A	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	3	6	3	6	upstreamES:raw=95402707,frozen=95402699;upstreamEE:raw=95402872,frozen=95402992;downstreamEE:raw=95412542,frozen=95412504	upstreamES:raw=95402707,frozen=95402699;upstreamEE:raw=95402872,frozen=95402992;downstreamEE:raw=95412542,frozen=95412504	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
ES|CHD6|chr20|-|41414845|41414981|41413323|41413515|41415185|41415638	ES	CHD6	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	event_coordinate_mismatch	6	6	5	6		exonStart_0base:raw=41414606,frozen=41414845	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch
ES|ABCF3|chr3|+|184187396|184187571|184186795|184186875|184187663|184187761	ES	ABCF3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	exonEnd:raw=184187443,frozen=184187571	exonEnd:raw=184187443,frozen=184187571	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A5SS|UBE2J2|chr1|-|1267732|1267992|1267861|1267992|1257207|1257310	A5SS	UBE2J2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	flankingES:raw=1263345,frozen=1257207;flankingEE:raw=1263386,frozen=1257310	flankingES:raw=1263345,frozen=1257207;flankingEE:raw=1263386,frozen=1257310	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A5SS|HERPUD1|chr16|+|56935234|56935497|56935234|56935312|56936686|56936817	A5SS	HERPUD1	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	event_coordinate_mismatch	0	6	3	6		longExonEnd:raw=56935587,frozen=56935497;shortEE:raw=56935497,frozen=56935312;flankingEE:raw=56937413,frozen=56936817	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch
A5SS|AEBP1|chr7|+|44107438|44107839|44107438|44107510|44108006|44108084	A5SS	AEBP1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	2	6	0	6	longExonStart_0base:raw=44107614,frozen=44107438;longExonEnd:raw=44107931,frozen=44107839;shortES:raw=44107614,frozen=44107438;shortEE:raw=44107700,frozen=44107510		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
A5SS|EIF5|chr14|+|103336676|103337143|103336676|103336849|103338326|103338472	A5SS	EIF5	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	0	6	0	6	longExonStart_0base:raw=103339171,frozen=103336676;longExonEnd:raw=103339803,frozen=103337143;shortES:raw=103339171,frozen=103336676;shortEE:raw=103339333,frozen=103336849;flankingES:raw=103340426,frozen=103338326;flankingEE:raw=103340561,frozen=103338472		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
A5SS|DNAJB1|chr19|-|14517478|14517862|14517590|14517862|14516465|14517046	A5SS	DNAJB1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	6	2	6	longExonStart_0base:raw=14527686,frozen=14517478;longExonEnd:raw=14527810,frozen=14517862;shortES:raw=14527725,frozen=14517590;shortEE:raw=14527810,frozen=14517862	longExonStart_0base:raw=14527686,frozen=14517478;longExonEnd:raw=14527810,frozen=14517862;shortES:raw=14527725,frozen=14517590;shortEE:raw=14527810,frozen=14517862	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A5SS|POFUT2|chr21|-|45284025|45284518|45284426|45284518|45283382|45283527	A5SS	POFUT2	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	event_coordinate_mismatch	6	6	0	6		longExonStart_0base:raw=45283351,frozen=45284025;longExonEnd:raw=45283527,frozen=45284518;shortES:raw=45283382,frozen=45284426;shortEE:raw=45283527,frozen=45284518;flankingES:raw=45282348,frozen=45283382;flankingEE:raw=45282459,frozen=45283527	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch
A3SS|WDR45|chrX|-|49076644|49076753|49076644|49076750|49077574|49077584	A3SS	WDR45	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	flankingES:raw=49077642,frozen=49077574;flankingEE:raw=49077747,frozen=49077584	flankingES:raw=49077642,frozen=49077574;flankingEE:raw=49077747,frozen=49077584	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A3SS|ARPC4-TTLL3|chr3|+|9818580|9818920|9818821|9818920|9813247|9813345	A3SS	ARPC4-TTLL3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	5	6	5	6	longExonStart_0base:raw=9818554,frozen=9818580	longExonStart_0base:raw=9818774,frozen=9818580	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A3SS|CEP131|chr17|-|81192297|81192589|81192297|81192392|81193925|81194127	A3SS	CEP131	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	0	6	4	6	longExonStart_0base:raw=81191192,frozen=81192297;longExonEnd:raw=81191350,frozen=81192589;shortES:raw=81191192,frozen=81192297;shortEE:raw=81191335,frozen=81192392;flankingES:raw=81192317,frozen=81193925;flankingEE:raw=81192392,frozen=81194127	longExonEnd:raw=81192593,frozen=81192589;flankingEE:raw=81194028,frozen=81194127	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A3SS|TNPO2|chr19|-|12705681|12706109|12705681|12705830|12706195|12706367	A3SS	TNPO2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	6	4	6	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
A3SS|DNMT3A|chr2|-|25240639|25240761|25240639|25240730|25243897|25243982	A3SS	DNMT3A	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	6	4	6	longExonStart_0base:raw=25241561,frozen=25240639;longExonEnd:raw=25241777,frozen=25240761;shortES:raw=25241561,frozen=25240639;shortEE:raw=25241707,frozen=25240730	flankingES:raw=25241561,frozen=25243897;flankingEE:raw=25242015,frozen=25243982	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|SEPTIN11|chr4|+|76987808|76987870|76995780|76995938|76949713|76949930|76996424|76996539	MXE	SEPTIN11	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	event_coordinate_mismatch	0	8	1	8		1stExonStart_0base:raw=76996424,frozen=76987808;1stExonEnd:raw=76996539,frozen=76987870;2ndExonStart_0base:raw=77005600,frozen=76995780;2ndExonEnd:raw=77005796,frozen=76995938;upstreamES:raw=76949750,frozen=76949713;downstreamES:raw=77011734,frozen=76996424;downstreamEE:raw=77011921,frozen=76996539	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch
MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145097760|145095984|145096111|145098119|145098219	MXE	ANAPC10	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	0	8	0	8	1stExonStart_0base:raw=145064571,frozen=145097494;1stExonEnd:raw=145064692,frozen=145097562;2ndExonStart_0base:raw=145081659,frozen=145097687;2ndExonEnd:raw=145081750,frozen=145097760;upstreamES:raw=145033044,frozen=145095984;upstreamEE:raw=145033371,frozen=145096111;downstreamES:raw=145095984,frozen=145098119;downstreamEE:raw=145096111,frozen=145098219		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|DENND3|chr8|+|141144147|141144259|141150097|141150348|141138021|141138137|141150833|141150953	MXE	DENND3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	0	8	5	8	1stExonStart_0base:raw=141155848,frozen=141144147;1stExonEnd:raw=141155970,frozen=141144259;2ndExonStart_0base:raw=141160631,frozen=141150097;2ndExonEnd:raw=141160787,frozen=141150348;upstreamES:raw=141151618,frozen=141138021;upstreamEE:raw=141151837,frozen=141138137;downstreamES:raw=141163332,frozen=141150833;downstreamEE:raw=141163429,frozen=141150953	1stExonStart_0base:raw=141141202,frozen=141144147;1stExonEnd:raw=141141324,frozen=141144259;downstreamEE:raw=141150908,frozen=141150953	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|CCDC60|chr12|+|119479093|119479201|119488758|119488962|119471993|119472164|119500077|119500168	MXE	CCDC60	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	exact_match	0	8	8	8	1stExonStart_0base:raw=119488758,frozen=119479093;1stExonEnd:raw=119488866,frozen=119479201;2ndExonStart_0base:raw=119500077,frozen=119488758;2ndExonEnd:raw=119500168,frozen=119488962;upstreamES:raw=119479093,frozen=119471993;upstreamEE:raw=119479201,frozen=119472164;downstreamES:raw=119505068,frozen=119500077;downstreamEE:raw=119505303,frozen=119500168		disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match
MXE|MGEA5|chr10|-|101803734|101804019|101807823|101807901|101798841|101799455|101817823|101818465	MXE	MGEA5	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	8	0	8	1stExonStart_0base:raw=101800241,frozen=101803734;1stExonEnd:raw=101800400,frozen=101804019;2ndExonStart_0base:raw=101803734,frozen=101807823;2ndExonEnd:raw=101804019,frozen=101807901;downstreamES:raw=101806044,frozen=101817823;downstreamEE:raw=101806143,frozen=101818465	1stExonStart_0base:raw=101812147,frozen=101803734;1stExonEnd:raw=101812380,frozen=101804019;2ndExonStart_0base:raw=101812695,frozen=101807823;2ndExonEnd:raw=101812923,frozen=101807901;upstreamES:raw=101810183,frozen=101798841;upstreamEE:raw=101810314,frozen=101799455;downstreamES:raw=101813029,frozen=101817823;downstreamEE:raw=101813127,frozen=101818465	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|FAT3|chr11|+|92559409|92559705|92696745|92696783|92524633|92524948|92697383|92697445	MXE	FAT3	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	8	4	8	1stExonStart_0base:raw=92525046,frozen=92559409;1stExonEnd:raw=92525083,frozen=92559705;2ndExonStart_0base:raw=92533052,frozen=92696745;2ndExonEnd:raw=92533171,frozen=92696783	1stExonStart_0base:raw=92537810,frozen=92559409;1stExonEnd:raw=92537922,frozen=92559705;2ndExonStart_0base:raw=92559409,frozen=92696745;2ndExonEnd:raw=92559705,frozen=92696783	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	TRUE	TRUE	TRUE	FALSE	FALSE	exact_match	exact_match	8	8	8	8			recovered	treatment_reversal_not_reproduced
MXE|SEPTIN10|chr2|-|109567697|109567976|109574580|109574633|109565762|109565859|109585125|109585321	MXE	SEPTIN10	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	7	8	7	8	1stExonStart_0base:raw=109567814,frozen=109567697	1stExonStart_0base:raw=109567814,frozen=109567697	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
